"Year","Company","Model","FloorPlan","Length","Engine","Stock Number","Dealer","Location","MSRP","DISCOUNT","Date"
"2025","Cobalt Boats","N/A","R6","26 ft","N/A","CO455337","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Cobalt Boats","N/A","R6","26 ft","N/A","CO25-R6-02","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Cobalt Boats","N/A","R8","28 ft","N/A","CO456962","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Cobalt Boats","R8","Surf","28 ft","N/A","CO455116","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Sportsman","Open","212","21 ft 5 in","N/A","SPFR122","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Sportsman","Open","232","23 ft 4 in","N/A","SPFS128","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Sylvan","MIRAGE","820","20 ft 10 in","N/A","SY04787","Marine Sales","Fairfield OH","42177","35097","2024-10-11"
"2025","Sylvan","MIRAGE","8522","22 ft 10 in","N/A","SY04800","Marine Sales","Fairfield OH","58686","47440","2024-10-11"
"2025","Sylvan","MIRAGE","8522","22 ft 10 in","N/A","SY04794","Marine Sales","Fairfield OH","58232","47098","2024-10-11"
"2025","Sylvan","MIRAGE","X3","23 ft 8 in","N/A","SY04791","Marine Sales","Fairfield OH","95306","80804","2024-10-11"
"2025","Yamaha Boats","N/A","252S","24 ft 6 in","N/A","YBC0284","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Yamaha Boats","N/A","252SD","N/A","N/A","YBC0119I","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Yamaha Boats","N/A","255XD","N/A","N/A","YBC0449H","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Yamaha Boats","N/A","AR190","19 ft 5 in","N/A","YBC0482","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Yamaha Boats","N/A","AR195","19 ft 5 in","N/A","YBC0460","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Yamaha Boats","N/A","AR250","24 ft 6 in","N/A","YBC0446","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Yamaha Boats","N/A","AR250","24 ft 6 in","N/A","YBC0321","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2025","Yamaha Boats","N/A","SX195","19 ft 5 in","N/A","YBC0324","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","CS23","Surf","23 ft 8 in","N/A","CO1S418","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","N/A","R4","24 ft 3 in","N/A","COR4074","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","R4","Surf","24 ft 3 in","N/A","COW4086","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","R6","Surf","26 ft","N/A","COW6019","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
"2024","Cobalt Boats","N/A","R8","27 ft 10 in","N/A","COR8019","Marine Sales","Fairfield OH","N/A","N/A","2024-10-11"
