Year, Company, Brand, FloorPlan, Msrp, Discount, Stock-Number, Unit Type, Location, Dealer, Date
2025,Alliance RV,Delta,234RK,48390,44995,T91769,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2024,Keystone RV,Cougar,30RKD,59172,44995,T90994,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Keystone RV,Cougar,25FKD,57019,46995,T91514,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Forest River RV,N/A,28BHS,N/A,N/A,T99403,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Keystone RV,Cougar,22MLSWE,N/A,N/A,T99580,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Keystone RV,Cougar,22RBSWE,N/A,N/A,T99578,Travel Trailer,Oklahoma City OK,BlueCompass,2024-10-30
2025,Grand Design,Transcend,151RB,21195,17995,T91974,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,151RB,21795,17995,T94267,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,151BH,19906,N/A,T98294,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,151BH,19906,N/A,T98293,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,151BH,19906,N/A,T98292,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Forest River RV,N/A,15RDX,23845,19999,T84984,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Forest River RV,N/A,15RDX,23845,19999,T84979,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,24BHX,23552,22599,T93344,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Forest River RV,N/A,26BH,31736,22980,T83831,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,BH,31624,23980,T92581,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,24BHX,28032,24995,T93499,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Transcend,26BHX,30818,26980,T90112,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Forest River RV,N/A,26BHS,37134,27980,T86418,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,16BL,34470,27980,T85384,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,16ML,35730,27980,T77578,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,22RBX,29327,27995,T93312,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,26BHX,29392,28555,T93404,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,16BL,34408,28980,T91893,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Forest River RV,N/A,28BHS,41702,29980,T89185,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Forest River RV,N/A,27BHS,40759,29980,T86444,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,14MS,36797,29980,T87953,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,15RB,35155,29980,T88285,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Forest River RV,N/A,24RBS,39856,29995,T84954,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,23MKS,37352,29995,T95633,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,25MLX,36493,29995,T93464,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,25MLX,32205,30995,T93371,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,24RBS,39744,31980,T94711,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Grand Design,Transcend,22RBX,34384,31995,T93421,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Momentum,22MAV,39363,32950,T88228,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,22BHE,42585,33980,T87156,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,24BSE,46771,35980,T89533,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Grand Design,Imagine,23LDE,46142,36980,T88311,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2025,Forest River RV,N/A,26FKDS,48930,36995,T92486,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
2024,Forest River RV,N/A,29QBS,47462,36995,T84825,Travel Trailer,Kansas City MO,BlueCompass,2024-10-30
