Year, Company, Brand, FloorPlan, Msrp, Discount, Stock-Number, Unit Type, Location, Dealer, Date
2024,Forest-River-Rv,aurora,light,15rdx,23845,19999,T84979,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,one,151rb,21195,N/A,T91974,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,one,151rb,21795,N/A,T94267,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,light,26bh,31736,22980,T83831,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,xplor,24bhx,23552,22980,T93344,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,transcend,xplor,26bhx,30818,26980,T90112,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,16bl,34470,27980,T85384,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,16ml,35730,27980,T77578,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,xplor,24bhx,28032,N/A,T93499,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,16bl,34408,28980,T91893,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,xplor,22rbx,29327,N/A,T93312,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,xplor,26bhx,29392,N/A,T93404,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,N/A,28bhs,41702,29980,T89185,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,26bhs,37306,29980,T96166,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,light,27bhs,40759,29980,T86444,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,14ms,36797,29980,T87953,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,15rb,35155,29980,T88285,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,N/A,24rbs,39856,29995,T84954,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,bh,31624,N/A,T92581,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,24rbs,39744,31980,T94711,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,light,26bhs,37134,31999,T86418,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,xplor,25mlx,32205,N/A,T93371,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,momentum,N/A,22mav,39363,32950,T88228,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,xplor,22rbx,34384,N/A,T93421,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,22bhe,42585,34980,T87156,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,24bse,46771,35980,T89533,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,xplor,25mlx,36493,N/A,T93464,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,23lde,46142,36980,T88311,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,23mks,37352,N/A,T95633,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,2600rb,51230,37980,T87461,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,N/A,32rlts,54161,39980,T84844,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,2500rl,51747,39980,T91654,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,23lde,46142,39980,T91987,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,17mke,41493,N/A,T98249,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,2800bh,55696,41980,T88253,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,2800bh,57281,41980,T87157,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,transcend,N/A,245rlt,42479,N/A,T97043,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,22mle,43262,N/A,T98259,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,N/A,29qbs,47462,44999,T84825,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,23lde,47791,N/A,T77687,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,26fkds,48930,N/A,T92486,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,imagine,N/A,3210bh,65714,49980,T88239,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,reflection,N/A,297rsts,70936,49980,T84632,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,34bhts,54271,N/A,T97959,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2024,Grand-Design,momentum,g-class,21g,71493,55980,T81000,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,2670mk,57444,N/A,T98221,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,2670mk,58083,N/A,T98214,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,imagine,N/A,2970rl,59857,N/A,T98682,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Grand-Design,reflection,N/A,296rdts,70896,64980,T92909,Travel Trailer,Kansas City MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,16bhx,23940,14995,T94823,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,16bhx,23940,14995,T94822,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,16bhx,23940,14995,T94821,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,starcraft,autumn,ridge,19bh,29287,17995,T96643,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,starcraft,autumn,ridge,19bh,29287,17995,T96644,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,starcraft,autumn,ridge,26bh,34451,20995,T96634,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,26bhs,37184,24995,T92585,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,26bhs,37184,24995,T94824,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,26bhs,37402,24995,T96181,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,starcraft,autumn,ridge,26bhs,38388,25995,T92767,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,starcraft,autumn,ridge,26bhs,38388,25995,T92766,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,starcraft,autumn,ridge,26bhs,38388,25995,T92762,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,starcraft,autumn,ridge,26rls,41231,25995,T96641,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,starcraft,autumn,ridge,26rls,41231,25995,T97252,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,24rbs,39794,28995,T92480,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,light,23mks,37402,28995,T94892,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,24rbs,39794,29995,T92497,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,28bhs,41752,31995,T93976,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2024,alliance,delta,N/A,251bh,47995,33995,T84800,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2024,alliance,delta,N/A,262rb,55288,34995,T84418,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,26fkds,48980,36995,T92489,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2025,Forest-River-Rv,aurora,N/A,29tqs,47472,37995,T92507,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2024,Forest-River-Rv,aurora,N/A,320bds,55092,39995,T94063,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2024,alliance,delta,N/A,292rl,62768,42995,T81732,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
2024,alliance,delta,N/A,292rl,64083,42995,T84423,Travel Trailer,Springfield MO,BlueCompass RV,2024-10-15
