"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Newmar","Bay Star","2720","N/A","N/A","SEATONBSS2720","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","2813","N/A","N/A","SEATONBSS2813","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2025","Tiffin Motorhomes","Phaeton","OH","N/A","N/A","DAATOTP44OH","ClassA Diesel","Davenport IA","Campersinn","2024-10-25"
"2025","Winnebago","Forza","34T","N/A","N/A","25DAATOWF34T","ClassA Diesel","Davenport IA","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","33Z","230134","159993","92164","ClassA Gas","Macon GA","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","33Z","231134","157995","94506","ClassA Gas","Raynham MA","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","33Z","228134","159995","95445","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","35G","237884","169995","97546","ClassA Gas","Philadelphia PA","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","35G","235491","179986","97942","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
"2025","Forest River RV","FR3","35G","237884","179998","99156","ClassA Gas","Conway SC","Campersinn","2024-10-25"
"2024","Forest River RV","Georgetown 5 Series","34H5","237534","169956","88855","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2023","Forest River RV","Georgetown 5 Series","34M5","232784","139993","72697","ClassA Gas","Philadelphia PA","Campersinn","2024-10-25"
"2024","Forest River RV","Georgetown 5 Series","36B5","222484","144995","89459","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2024","Forest River RV","Georgetown 5 Series","36F5","226484","164995","94730","ClassA Gas","Philadelphia PA","Campersinn","2024-10-25"
"2023","Forest River RV","Georgetown 7 Series","32J7","259104","159993","70051","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2024","Forest River RV","Georgetown 7 Series","36D7","270826","189514","93602","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2024","Forest River RV","Georgetown 7 Series","36K7","273708","179995","88008","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2024","Forest River RV","Georgetown 7 Series","36K7","275719","179995","94098","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2023","Forest River RV","Georgetown 7 Series","36K7","273708","169995","85073","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2024","Jayco","Alante","27A","186160","119993","92686","ClassA Gas","Fredericksburg VA","Campersinn","2024-10-25"
"2025","Jayco","Alante","29S","194785","134995","96266","ClassA Gas","Leesburg FL","Campersinn","2024-10-25"
"2025","Jayco","Precept","34G","243948","164995","96268","ClassA Gas","Leesburg FL","Campersinn","2024-10-25"
"2024","Jayco","Precept","34G","235569","152995","92691","ClassA Gas","Ocala FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3014","N/A","N/A","SEATONBS3014","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2024","Newmar","Bay Star","3014","255326","208260","92678","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3016","268479","N/A","95567","ClassA Gas","Louisville KY","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3016","270925","N/A","96483","ClassA Gas","Jacksonville North FL","Campersinn","2024-10-25"
"2025","Newmar","Bay Star","3116","N/A","N/A","SEATONBS3116","ClassA Gas","Sewell NJ","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","30DS","198076","125995","91651","ClassA Gas","Raynham MA","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","30DS","198955","129993","93605","ClassA Gas","Phoenix AZ","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","30DS","198896","129993","93606","ClassA Gas","Prescott Valley AZ","Campersinn","2024-10-25"
"2024","Forest River RV","FR3","30DS","195876","129993","93607","ClassA Gas","Raleigh NC","Campersinn","2024-10-25"
