"Year","Company","Brand","FloorPlan","Msrp","Discount","Stock-Number","Unit Type","Location","Dealer","Date"
"2025","Forest River RV","Cherokee","20OG","58410","N/A","120327","Destination Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Timberwolf","39DL","73931","N/A","120269","Destination Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","39HBA","80753","N/A","120330","Destination Trailer","Albany NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","39AL","81548","N/A","120321","Destination Trailer","Albany NY","Meyers","2024-10-17"
"2025","Coachmen RV","Catalina Destination Series","40BHTS","58709","N/A","90536","Destination Trailer","Mt Morris PA","Meyers","2024-10-17"
"2025","Coachmen RV","Catalina Destination Series","42CONDO","84148","N/A","90537","Destination Trailer","Mt Morris PA","Meyers","2024-10-17"
"2025","Coachmen RV","Catalina Destination Series","42CONDO","84063","N/A","62055","Destination Trailer","Pittsburgh PA","Meyers","2024-10-17"
"2025","Forest River RV","Wildwood","40RLB","76599","N/A","24443","Destination Trailer","Bath NY","Meyers","2024-10-17"
"2025","Forest River RV","Sandpiper","388JW","85169","N/A","51935","Destination Trailer","Harrisburg PA","Meyers","2024-10-17"
"2025","Forest River RV","Cedar Creek","40CFD","106968","N/A","51921","Destination Trailer","Harrisburg PA","Meyers","2024-10-17"
"2025","Forest River RV","Wildwood","40FDEN","72711","N/A","34053","Destination Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Forest River RV","Wildwood","42DMS","73690","N/A","34052","Destination Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Forest River RV","Wildwood","42FLDL","90626","N/A","33977","Destination Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Forest River RV","Wildwood","42DL","90865","N/A","34019","Destination Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Forest River RV","View","44VIEW","105747","N/A","34051","Destination Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Forest River RV","View","44VIEW","105792","N/A","34024","Destination Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Forest River RV","Wildwood","42VERANDA","107990","N/A","34047","Destination Trailer","Syracuse NY","Meyers","2024-10-17"
"2024","Forest River RV","Timberwolf","16ML","54434","29897","100233","Destination Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Forest River RV","Timberwolf","20OG","58410","N/A","100357","Destination Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","39DL","74308","N/A","100277","Destination Trailer","Joppa MD","Meyers","2024-10-17"
"2025","Coachmen RV","Catalina Destination Series","42CONDO","84488","N/A","24616","Destination Trailer","Bath NY","Meyers","2024-10-17"
"2024","Forest River RV","Wildwood","42FLDL","88944","N/A","24413","Destination Trailer","Bath NY","Meyers","2024-10-17"
"2025","Forest River RV","Cedar Creek","41FWC","124596","N/A","24584","Destination Trailer","Bath NY","Meyers","2024-10-17"
"2025","Forest River RV","Wildwood","40RLB","78288","N/A","34025","Destination Trailer","Syracuse NY","Meyers","2024-10-17"
"2025","Forest River RV","Cherokee","39AL","81548","N/A","100278","Destination Trailer","Joppa MD","Meyers","2024-10-17"
